job_id,zone,demand,depot_km,window_width,load_pct,seq_index,eta_slack,travel_variance,zone_late_rate,was_late,delay_min
H-0079,WHT,12,4.92,67.7,0.325,2,5.9,13.33,0.41,1,12
H-0080,WHT,11,4.388,68.3,0.469,7,18.4,4.39,0.41,1,12
H-0081,WHT,10,4.267,75.5,0.88,1,22.4,8.11,0.41,0,0
H-0082,IND,9,7.295,27.7,0.777,6,-33.3,1.01,0.18,0,0
H-0083,IND,6,3.839,50.4,0.721,8,10.6,25.0,0.18,1,23
H-0084,IND,7,2.811,92.8,0.42,5,24.0,6.35,0.18,1,15
H-0085,IND,7,2.226,41.5,0.579,2,1.5,3.45,0.18,1,9
H-0086,HSR,5,4.782,55.6,0.49,2,16.4,6.58,0.27,1,16
H-0087,HSR,8,6.976,24.3,0.897,7,-30.6,10.5,0.27,1,24
H-0088,WHT,8,3.166,56.3,0.208,6,25.4,11.11,0.41,1,16
H-0089,IND,12,5.594,45.9,0.322,2,5.8,5.82,0.18,1,25
H-0090,HSR,7,3.538,41.2,0.191,6,-17.3,20.51,0.27,1,12
H-0091,HSR,11,4.363,105.8,0.628,2,17.7,6.29,0.27,0,0
H-0092,HSR,5,6.108,64.9,0.159,1,46.5,20.31,0.27,0,0
H-0093,KOR,10,5.475,79.0,0.567,8,13.6,10.26,0.34,1,9
H-0094,JPN,12,3.956,75.4,0.15,5,-12.4,4.4,0.22,1,32
H-0095,JPN,6,4.137,92.7,0.659,1,31.9,3.24,0.22,0,0
H-0096,WHT,11,0.672,43.7,0.347,6,-42.8,1.72,0.41,1,21
H-0097,IND,5,1.837,29.8,0.878,3,-23.4,3.98,0.18,1,12
H-0098,IND,4,3.544,66.5,0.396,2,-12.6,0.65,0.18,1,17
H-0099,WHT,7,6.31,136.3,0.28,2,19.6,4.98,0.41,0,0
H-0100,IND,10,1.907,129.7,0.476,1,34.6,10.44,0.18,0,0
H-0101,HSR,6,0.4,75.7,0.298,2,28.0,11.59,0.27,0,0
H-0102,WHT,10,3.349,104.8,0.753,3,4.1,3.29,0.41,1,32
H-0103,WHT,5,4.735,49.5,0.902,6,23.6,2.65,0.41,1,21
H-0104,KOR,11,1.151,105.5,0.39,8,-3.3,2.45,0.34,1,19
H-0105,HSR,11,6.21,25.9,0.716,6,-7.6,1.94,0.27,1,18
H-0106,KOR,5,1.789,124.1,0.368,1,20.3,3.52,0.34,0,0
H-0107,KOR,5,3.665,47.5,0.61,8,12.6,4.01,0.34,1,6
H-0108,IND,9,5.218,81.6,0.544,2,62.6,9.07,0.18,1,16
H-0109,IND,12,8.719,85.3,0.56,8,-4.8,5.44,0.18,1,7
H-0110,KOR,8,4.307,48.9,0.343,7,-34.6,8.62,0.34,1,8
H-0111,KOR,7,2.112,66.2,0.816,4,7.9,10.72,0.34,1,9
H-0112,IND,9,3.909,39.4,0.268,6,-6.8,5.44,0.18,1,23
H-0113,HSR,10,4.437,83.9,0.736,8,12.9,2.74,0.27,1,28
H-0114,IND,9,5.221,79.9,0.449,4,-6.6,2.33,0.18,0,0
H-0115,KOR,4,2.364,32.6,0.664,6,3.5,6.26,0.34,1,9
H-0116,IND,6,2.721,105.8,0.489,7,-6.8,4.36,0.18,1,25
H-0117,HSR,11,2.109,72.4,0.223,6,6.1,3.73,0.27,1,11
H-0118,HSR,12,2.935,56.4,0.381,2,19.0,3.75,0.27,0,0
H-0119,HSR,9,5.188,20.0,0.587,5,-37.4,9.77,0.27,1,11
H-0120,KOR,10,2.845,51.5,0.596,3,-34.9,4.26,0.34,0,0
H-0121,IND,11,3.557,21.4,0.354,1,9.5,12.06,0.18,1,19
H-0122,HSR,10,2.638,20.0,0.35,8,-32.8,2.29,0.27,1,25
H-0123,HSR,11,5.527,109.8,0.686,4,32.3,11.2,0.27,1,11
H-0124,WHT,12,3.407,71.6,0.561,3,-6.8,4.52,0.41,0,0
H-0125,WHT,7,3.936,47.4,0.66,4,20.2,5.38,0.41,1,12
H-0126,JPN,9,2.828,83.3,0.837,5,7.3,1.56,0.22,1,16
H-0127,JPN,7,1.003,113.5,0.941,2,29.2,6.41,0.22,1,19
H-0128,HSR,9,6.213,149.1,0.891,2,42.9,1.08,0.27,0,0
H-0129,KOR,6,2.614,89.5,0.701,8,29.5,16.63,0.34,1,1
H-0130,IND,7,5.162,114.5,0.711,6,39.8,5.34,0.18,1,25
H-0131,IND,8,5.922,27.8,0.759,6,-27.8,6.25,0.18,1,29
H-0132,HSR,12,4.483,66.2,0.491,3,25.4,8.98,0.27,0,0
H-0133,HSR,4,2.168,72.3,0.522,5,18.2,5.45,0.27,1,37
H-0134,KOR,7,2.231,94.4,0.688,4,-6.3,3.97,0.34,1,29
H-0135,IND,5,6.758,98.5,0.273,3,8.9,6.56,0.18,1,18
H-0136,JPN,8,2.449,108.3,0.652,3,39.8,9.82,0.22,1,22
H-0137,JPN,8,0.413,60.5,0.7,5,28.9,2.51,0.22,0,0
H-0138,KOR,7,6.471,32.1,0.681,2,14.2,3.44,0.34,1,14
H-0139,JPN,12,2.778,69.4,0.22,1,33.2,8.83,0.22,0,0
H-0140,HSR,12,5.415,52.1,0.624,3,-13.2,14.36,0.27,1,16
H-0141,JPN,4,4.334,117.5,0.724,2,30.1,11.8,0.22,0,0
H-0142,IND,7,3.662,82.2,0.296,3,9.7,3.84,0.18,1,15
H-0143,IND,10,5.497,50.3,0.333,1,0.6,8.0,0.18,1,14
H-0144,JPN,7,1.382,68.7,0.306,7,-8.7,4.6,0.22,1,11
H-0145,JPN,7,3.296,34.8,0.334,7,-24.5,17.71,0.22,1,15
H-0146,KOR,4,2.795,96.7,0.814,4,-3.0,2.11,0.34,1,21
H-0147,HSR,5,6.979,59.6,0.655,6,-8.7,5.31,0.27,1,22
H-0148,KOR,6,5.204,96.5,0.363,4,-5.2,1.95,0.34,1,20
H-0149,JPN,10,6.337,70.2,0.45,2,23.8,3.14,0.22,1,25
H-0150,HSR,10,4.764,78.9,0.15,2,-2.4,4.22,0.27,1,14
H-0151,KOR,12,7.439,70.3,0.701,8,-25.5,2.08,0.34,1,34
H-0152,KOR,5,1.379,111.7,0.471,7,-0.0,7.85,0.34,1,14
H-0153,KOR,12,5.473,34.2,0.642,1,11.8,4.28,0.34,1,17
H-0154,JPN,9,1.793,87.1,0.542,2,28.4,1.31,0.22,1,32
H-0155,HSR,6,5.257,41.6,0.352,8,-13.8,10.83,0.27,1,11
H-0156,HSR,5,8.656,72.9,0.721,3,6.4,1.66,0.27,1,10
H-0157,WHT,4,6.2,56.0,0.835,5,8.2,5.56,0.41,1,39
H-0158,IND,9,6.998,20.0,0.743,5,-58.9,10.56,0.18,1,27
H-0159,KOR,10,2.69,70.7,0.771,6,22.3,8.43,0.34,0,0
H-0160,IND,8,0.4,89.0,0.445,6,24.9,2.39,0.18,1,16
H-0161,IND,12,5.26,63.5,0.666,8,-8.7,5.24,0.18,1,18
H-0162,IND,4,2.124,27.2,0.555,4,-6.4,5.67,0.18,1,15
H-0163,IND,10,2.446,101.9,0.738,4,13.2,5.79,0.18,0,0
H-0164,KOR,10,3.729,39.3,0.485,3,-7.1,16.05,0.34,1,12
H-0165,KOR,8,9.882,51.0,0.422,7,-5.9,3.53,0.34,1,31
H-0166,IND,6,0.517,143.5,0.788,1,53.9,0.5,0.18,0,0
H-0167,IND,7,0.647,27.4,0.344,4,-7.1,4.38,0.18,1,26
H-0168,IND,6,2.64,58.3,0.86,4,-1.6,9.92,0.18,1,3
H-0169,WHT,6,6.782,65.7,0.297,8,-24.8,7.97,0.41,1,21
H-0170,IND,8,4.552,77.8,0.643,2,27.1,3.76,0.18,0,0
H-0171,HSR,5,2.665,85.5,0.447,3,32.0,1.02,0.27,0,0
H-0172,WHT,9,4.52,23.3,0.457,5,-31.8,3.37,0.41,1,13
H-0173,IND,7,2.111,78.6,0.481,5,23.1,3.57,0.18,1,19
H-0174,JPN,5,4.066,68.5,0.431,6,-26.1,13.31,0.22,1,43
H-0175,KOR,11,5.956,119.1,0.385,8,8.3,13.11,0.34,0,0
H-0176,JPN,5,5.273,86.0,0.671,5,60.9,5.92,0.22,1,22
H-0177,WHT,12,4.704,125.7,0.668,8,22.0,3.65,0.41,0,0
H-0178,JPN,12,4.561,26.5,0.77,4,-19.7,5.64,0.22,1,5
H-0179,WHT,10,5.13,53.0,0.429,6,-27.7,2.56,0.41,1,13
H-0180,KOR,9,1.478,23.3,0.67,7,-27.4,6.03,0.34,1,24
H-0181,KOR,9,3.722,75.4,0.894,7,3.8,3.22,0.34,0,0
H-0182,KOR,6,6.946,95.2,0.533,6,-22.7,25.0,0.34,0,0
H-0183,JPN,8,3.848,65.8,0.551,3,-4.3,7.13,0.22,0,0
H-0184,KOR,12,4.482,46.3,0.516,7,18.3,7.34,0.34,1,27
H-0185,WHT,6,5.736,95.4,0.7,7,-17.2,3.87,0.41,1,18
H-0186,KOR,8,2.864,29.0,0.486,8,-45.1,6.28,0.34,1,24
H-0187,WHT,9,1.988,23.0,0.869,6,-19.4,11.79,0.41,1,21
H-0188,JPN,5,8.1,51.2,0.679,7,-30.2,8.3,0.22,1,15
H-0189,HSR,9,2.762,99.6,0.835,3,37.0,2.73,0.27,0,0
H-0190,JPN,5,0.529,74.5,0.254,4,-30.1,7.78,0.22,1,13
H-0191,IND,5,3.302,109.8,0.429,1,15.2,3.58,0.18,0,0
H-0192,JPN,12,3.589,83.1,0.828,8,-20.5,0.7,0.22,0,0
H-0193,IND,11,6.341,20.0,0.214,2,-33.7,7.46,0.18,1,11
H-0194,KOR,8,6.867,20.0,0.559,7,5.0,5.33,0.34,0,0
H-0195,JPN,5,4.229,105.4,0.211,6,13.0,5.11,0.22,0,0
H-0196,WHT,11,3.794,108.7,0.733,6,34.5,5.34,0.41,1,9
H-0197,WHT,7,3.168,131.1,0.95,4,38.7,7.97,0.41,1,21
H-0198,HSR,10,6.18,123.1,0.612,8,41.6,7.36,0.27,0,0
H-0199,WHT,8,8.422,60.3,0.771,2,-13.5,3.12,0.41,1,24
H-0200,WHT,12,7.803,81.4,0.579,3,-29.2,4.25,0.41,1,22
H-0201,JPN,11,5.677,67.9,0.74,8,-6.2,5.44,0.22,1,26
H-0202,IND,11,5.093,25.7,0.557,1,-9.8,4.23,0.18,1,17
H-0203,KOR,7,5.459,99.5,0.841,2,11.6,1.42,0.34,0,0
H-0204,IND,7,7.91,69.9,0.271,7,-11.1,13.41,0.18,1,19
H-0205,HSR,9,4.565,79.8,0.821,1,43.3,6.38,0.27,0,0
H-0206,HSR,6,7.107,36.2,0.284,2,-6.6,4.92,0.27,1,3
H-0207,IND,9,1.227,53.7,0.592,4,6.7,4.03,0.18,1,10
H-0208,HSR,12,3.647,97.1,0.216,7,-4.8,5.76,0.27,0,0
H-0209,JPN,4,5.943,102.5,0.202,6,-3.5,2.79,0.22,1,25
H-0210,WHT,7,1.023,146.9,0.301,4,45.2,5.58,0.41,0,0
H-0211,WHT,11,3.006,124.1,0.96,6,44.9,11.98,0.41,0,0
H-0212,KOR,9,6.968,92.7,0.947,4,36.3,2.58,0.34,0,0
H-0213,HSR,12,8.879,71.1,0.638,2,0.6,8.78,0.27,0,0
H-0214,HSR,4,3.305,95.2,0.699,2,-15.1,18.96,0.27,1,20
H-0215,IND,5,6.833,100.2,0.735,6,12.7,1.57,0.18,1,16
H-0216,IND,10,3.066,90.2,0.73,7,-28.3,3.97,0.18,1,9
H-0217,JPN,7,1.382,73.9,0.324,2,11.9,5.73,0.22,1,25
H-0218,HSR,5,0.698,49.3,0.269,1,-25.3,2.35,0.27,1,1
H-0219,HSR,4,5.352,54.7,0.585,6,18.1,14.59,0.27,0,0
H-0220,JPN,11,4.029,47.0,0.386,5,-7.3,10.12,0.22,1,25
H-0221,JPN,12,7.095,122.1,0.829,2,18.6,11.94,0.22,0,0
H-0222,JPN,6,1.468,74.0,0.678,4,-11.0,6.85,0.22,0,0
H-0223,JPN,11,3.604,113.7,0.482,2,17.4,0.53,0.22,1,14
H-0224,IND,6,3.058,20.0,0.251,2,-20.8,2.49,0.18,1,10
H-0225,KOR,7,3.731,20.0,0.629,1,-4.9,3.41,0.34,1,1
H-0226,IND,10,3.635,46.9,0.72,3,-0.7,8.82,0.18,0,0
H-0227,KOR,9,6.276,33.0,0.554,4,-20.5,6.31,0.34,1,23
H-0228,IND,7,4.474,39.4,0.49,4,20.5,19.0,0.18,1,16
H-0229,IND,9,5.099,94.5,0.677,2,-3.5,0.74,0.18,0,0
H-0230,JPN,10,2.533,164.3,0.15,2,56.4,3.25,0.22,0,0
H-0231,HSR,9,3.939,62.4,0.352,4,-35.4,2.03,0.27,1,18
H-0232,HSR,8,0.821,48.3,0.562,2,19.1,4.96,0.27,0,0
H-0233,JPN,4,5.234,24.6,0.756,4,8.6,8.64,0.22,1,7
H-0234,IND,4,5.243,43.4,0.801,5,-32.4,10.98,0.18,1,31
H-0235,IND,7,7.286,64.6,0.438,1,36.8,11.4,0.18,1,19
H-0236,JPN,5,5.661,22.6,0.816,7,-13.3,15.87,0.22,1,23
H-0237,KOR,10,4.699,98.7,0.535,8,-23.6,4.04,0.34,1,23
H-0238,WHT,10,4.145,20.0,0.751,1,0.7,2.62,0.41,1,5
H-0239,KOR,7,6.532,37.0,0.937,2,-18.9,19.61,0.34,1,28
H-0240,HSR,9,5.279,84.9,0.656,2,28.7,1.75,0.27,1,18
H-0241,JPN,5,4.909,71.4,0.345,8,-25.9,4.44,0.22,1,16
H-0242,JPN,9,4.59,20.8,0.671,2,-26.3,8.62,0.22,1,26
H-0243,IND,5,0.4,20.3,0.85,7,-41.1,4.36,0.18,1,34
H-0244,IND,10,0.4,59.0,0.696,7,12.9,9.13,0.18,0,0
H-0245,WHT,7,5.129,74.8,0.859,2,-19.1,6.31,0.41,0,0
H-0246,KOR,7,6.887,67.9,0.767,6,-22.6,5.19,0.34,1,23
H-0247,KOR,6,7.408,34.3,0.167,2,13.5,4.54,0.34,1,20
H-0248,IND,5,5.634,35.8,0.571,3,-27.5,6.07,0.18,1,41
H-0249,HSR,6,2.195,28.4,0.577,4,-12.5,7.59,0.27,1,9
H-0250,IND,5,1.54,25.0,0.472,5,11.0,8.96,0.18,1,11
H-0251,HSR,12,5.479,59.4,0.636,4,-30.1,2.45,0.27,1,6
H-0252,KOR,11,3.151,107.1,0.302,7,-10.0,5.66,0.34,1,14
H-0253,JPN,11,8.088,24.2,0.609,3,12.9,11.44,0.22,1,13
H-0254,IND,5,6.372,66.5,0.597,2,-8.6,8.32,0.18,0,0
H-0255,IND,5,6.067,43.2,0.584,7,-46.0,6.36,0.18,1,23
H-0256,HSR,7,0.4,62.0,0.509,5,-3.8,2.1,0.27,0,0
H-0257,IND,5,1.233,51.9,0.997,6,-12.4,3.43,0.18,0,0
H-0258,KOR,8,5.883,59.5,0.553,2,-2.9,7.27,0.34,0,0
H-0259,KOR,6,3.626,104.4,0.583,2,38.3,0.82,0.34,0,0
H-0260,KOR,4,3.347,39.5,0.495,7,22.0,3.03,0.34,1,15
H-0261,IND,4,6.119,25.2,0.324,1,-36.5,5.52,0.18,0,0
H-0262,KOR,4,2.409,30.1,0.657,7,-23.5,12.8,0.34,1,29
H-0263,WHT,6,6.165,27.0,0.478,6,-33.6,8.97,0.41,1,23
H-0264,HSR,6,4.964,138.9,0.392,5,21.5,3.91,0.27,1,26
H-0265,HSR,11,4.404,71.5,0.505,6,2.9,5.96,0.27,1,12
H-0266,HSR,6,2.941,20.6,0.797,2,17.5,5.74,0.27,1,11
H-0267,KOR,8,4.853,55.8,0.951,4,0.2,4.45,0.34,1,15
H-0268,KOR,5,4.293,28.5,0.354,7,-27.8,1.84,0.34,1,22
H-0269,WHT,7,2.324,88.0,0.369,1,17.1,2.51,0.41,0,0
H-0270,JPN,10,4.409,79.5,0.97,8,-6.5,8.06,0.22,1,32
H-0271,IND,8,3.145,52.0,0.681,7,-51.0,2.58,0.18,1,9
H-0272,IND,7,4.431,92.9,0.674,8,18.7,11.69,0.18,0,0
H-0273,IND,8,7.972,37.6,0.15,8,-31.2,6.15,0.18,1,9
H-0274,KOR,9,1.268,98.4,0.741,5,10.9,9.1,0.34,1,19
H-0275,IND,4,4.967,23.4,0.603,2,-15.7,5.74,0.18,1,19
H-0276,JPN,8,2.049,101.4,0.223,3,18.8,4.72,0.22,0,0
H-0277,WHT,11,3.402,44.9,0.15,3,14.3,5.42,0.41,1,12
H-0278,JPN,7,2.123,86.0,0.668,1,27.8,8.24,0.22,0,0
H-0279,HSR,6,2.251,20.0,0.247,1,19.3,9.63,0.27,0,0
H-0280,JPN,6,3.931,119.6,0.256,2,43.3,2.52,0.22,0,0
H-0281,KOR,9,4.473,82.9,0.16,2,17.4,3.31,0.34,0,0
H-0282,IND,4,0.784,138.3,0.301,5,13.2,6.49,0.18,0,0
H-0283,IND,6,1.836,117.5,0.804,8,22.6,7.18,0.18,0,0
H-0284,KOR,5,4.264,93.2,0.709,8,13.8,8.21,0.34,0,0
H-0285,JPN,7,4.444,20.0,0.703,7,-20.7,4.27,0.22,1,2
H-0286,IND,8,4.978,31.7,0.379,4,-24.3,1.12,0.18,1,20
H-0287,KOR,5,4.236,126.0,0.763,5,29.9,7.4,0.34,0,0
H-0288,JPN,9,2.756,61.8,0.913,2,-15.8,4.42,0.22,0,0
H-0289,KOR,9,5.178,64.5,0.74,1,23.6,12.44,0.34,0,0
H-0290,IND,7,3.468,43.3,0.22,1,-0.8,5.38,0.18,1,24
H-0291,WHT,5,5.885,49.9,0.51,1,-18.9,18.34,0.41,1,19
H-0292,HSR,5,3.33,20.0,0.575,1,-26.1,3.22,0.27,1,12
H-0293,WHT,10,5.5,70.6,0.952,5,20.8,5.21,0.41,1,17
H-0294,IND,9,3.345,96.9,0.198,4,32.3,1.7,0.18,0,0
H-0295,JPN,4,7.278,112.1,0.571,2,22.5,7.84,0.22,1,6
H-0296,WHT,8,6.56,67.3,0.433,1,8.4,0.5,0.41,0,0
H-0297,KOR,12,4.271,20.0,0.787,5,4.3,3.77,0.34,1,19
H-0298,HSR,9,2.326,52.8,0.283,5,-29.2,4.1,0.27,1,27
H-0299,HSR,10,5.68,105.7,0.474,7,22.2,7.01,0.27,1,21
H-0300,IND,6,2.085,95.6,0.692,1,22.3,11.0,0.18,0,0
H-0301,HSR,4,1.043,90.6,0.394,2,21.3,15.7,0.27,0,0
H-0302,HSR,7,1.33,115.2,0.765,5,10.9,9.86,0.27,1,19
H-0303,HSR,12,4.025,20.0,0.623,8,-26.5,5.03,0.27,1,12
H-0304,JPN,8,5.521,36.1,0.269,4,-17.9,16.62,0.22,1,24
H-0305,JPN,7,0.4,40.2,0.692,7,-1.4,3.92,0.22,1,24
H-0306,WHT,4,3.222,120.3,0.598,6,18.0,7.22,0.41,1,30
H-0307,JPN,10,0.478,20.0,0.707,8,-49.3,6.65,0.22,1,7
H-0308,JPN,8,0.4,78.5,0.594,1,22.0,9.51,0.22,0,0
H-0309,IND,9,4.867,97.3,0.565,8,-29.3,2.83,0.18,1,20
H-0310,KOR,7,0.4,48.7,0.544,2,-10.7,5.01,0.34,0,0
H-0311,IND,10,2.365,72.2,0.205,3,21.8,2.73,0.18,1,23
H-0312,JPN,4,2.642,132.5,0.696,4,-1.0,2.82,0.22,0,0
H-0313,KOR,6,6.498,48.4,0.776,2,-1.5,5.87,0.34,1,1
H-0314,KOR,7,6.902,70.2,0.307,6,-5.1,0.93,0.34,1,29
H-0315,WHT,11,5.382,89.6,0.527,6,7.4,8.46,0.41,1,1
H-0316,WHT,4,1.49,20.0,0.205,3,1.4,12.97,0.41,1,1
H-0317,KOR,9,3.754,20.0,0.333,4,-13.9,6.7,0.34,1,23
H-0318,IND,4,7.635,116.7,0.603,1,6.3,4.12,0.18,1,1
H-0319,HSR,8,2.001,44.2,0.687,6,-9.2,3.0,0.27,1,12
H-0320,IND,11,3.995,96.6,0.737,6,4.7,6.66,0.18,0,0
H-0321,WHT,6,4.79,148.6,0.354,5,49.6,7.04,0.41,1,21
H-0322,JPN,9,5.421,66.4,0.58,5,33.8,7.34,0.22,0,0
H-0323,JPN,12,2.884,91.1,0.717,5,0.3,7.35,0.22,1,3
H-0324,JPN,5,9.095,87.2,0.469,3,2.4,2.59,0.22,1,14
H-0325,HSR,11,4.817,138.2,0.423,2,46.6,0.62,0.27,1,29
H-0326,WHT,6,0.947,72.8,0.603,6,-30.9,7.47,0.41,0,0
H-0327,IND,9,4.965,70.8,0.675,1,-4.9,1.94,0.18,1,23
H-0328,HSR,7,8.56,41.3,0.15,2,-7.8,5.02,0.27,1,34
H-0329,HSR,10,6.67,33.4,0.637,6,-28.2,2.11,0.27,1,14
H-0330,HSR,5,3.313,39.0,0.433,1,8.8,14.7,0.27,1,19
H-0331,KOR,11,3.968,102.1,0.651,4,42.1,1.61,0.34,0,0
H-0332,HSR,5,3.147,72.2,0.388,2,23.0,4.45,0.27,0,0
H-0333,JPN,8,3.259,97.3,0.621,7,5.4,5.33,0.22,1,35
H-0334,WHT,11,3.734,64.0,0.209,4,15.1,10.03,0.41,0,0
H-0335,HSR,6,6.616,88.6,0.535,7,-48.2,11.09,0.27,1,24
